Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_accumulate_grad_batches,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
TextAndGraphAndNumModule561793047,2022-03-07 17:16:56,119ms,a51245609b2a434ea484ffd3399f7e36,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9393274784088136,0.0098182038219373,,,0.8285808682441711,0.0329931731303386,0.3511759966611862,0.0721954356516273,0.8295713067054749,0.0380874869680561,0.8293541193008422,0.045729652543426,0.8409731388092041,0.0193508156045866
TextAndGraphAndNumModule1559473548,2022-03-07 06:26:00,212ms,0e4b8f62b4304f7f8db5e1d5d907f0c6,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.944298243522644,0.0099951339453958,,,0.842126190662384,0.0289666652780996,0.3615386068820953,0.0643982039095692,0.8500110030174255,0.0388563414143645,0.8357966184616089,0.0358811020103801,0.8588735818862915,0.0096079347723112
TextAndGraphAndNumModule545163082,2022-03-06 20:57:56,228ms,6d60f510343742e1ad8210927dd09b56,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9444444417953493,0.015623449267077,,,0.8435486674308776,0.0446326482115643,0.2769140601158142,0.0739152478317492,0.8453785657882691,0.0386122128194914,0.8427524447441102,0.0572145038212817,0.8454301238059998,0.0486607117071727
TextAndGraphAndNumModule3213839099,2022-03-06 10:02:27,117ms,b46376de04ed4ca4b381877c1dbe883a,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.944152045249939,0.0150065830659027,,,0.8410296678543091,0.0462060863532885,0.4252504944801331,0.1259401884345106,0.8472276568412781,0.0347691635016761,0.8371714115142822,0.0693356410586386,0.8436427474021911,0.0388392169256085
TextAndGraphAndNumModule490849516,2022-03-06 00:41:00,119ms,407c9eeec5f945f2a95d94b592f2b979,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.938157904148102,0.0069900706117793,,,0.8276661992073059,0.0177317085536438,0.3187218338251114,0.0594934981483928,0.8225633025169372,0.0145995659971265,0.8332870960235595,0.0281173439235975,0.8226789236068726,0.0263551521547035
TextAndGraphAndNumModule3443262880,2022-03-05 13:54:27,118ms,7ed478b726d5435f91241d6df4ac4147,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9369883060455322,0.0146957177743201,,,0.82265864610672,0.0406577015871057,0.4537549912929535,0.0688788208815914,0.82469562292099,0.0472122107196663,0.8215962886810303,0.0438288725609198,0.817074429988861,0.0160945871829478
TextAndGraphAndNumModule876679124,2022-03-05 04:32:27,117ms,577fd4f316c147cab04de7acc048fd43,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9333333373069764,0.014245200533875,,,0.8137176513671875,0.0363535657094292,0.3194888532161712,0.0409538871350386,0.8141469836235047,0.0526347608037285,0.8151133179664611,0.0381168844568233,0.8061377286911011,0.0323195062629345
TextAndGraphAndNumModule2387292182,2022-03-04 17:46:27,117ms,9ad59de317e6488284cfb829907ca466,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.948099410533905,0.0122928916049649,,,0.8529123425483703,0.0293999031808655,0.3297989517450332,0.070711855064979,0.8683734893798828,0.034430234451626,0.8386477351188659,0.0340195210776211,0.8512916445732117,0.0440436904914781
TextAndGraphAndNumModule1300443397,2022-03-04 08:06:35,134ms,65ab6b8904704a7d9d29c34050078b6c,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9400584816932678,0.0086368860007439,,,0.826926851272583,0.0303575153672024,0.281704917550087,0.0420988647162209,0.8470015406608582,0.0181108861779407,0.8094320058822632,0.0522242943270749,0.829998779296875,0.0269393904226259
TextAndGraphAndNumModule1030930030,2022-03-03 21:05:35,121ms,a5bb2fb11fd140efa288b6e04560de2c,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.94444442987442,0.0127871707246125,,,0.8435571432113648,0.0350648105522129,0.4046710848808288,0.0639643682277076,0.8472716689109803,0.0320667107805668,0.8401583671569824,0.0406136105549867,0.8384972929954528,0.0301830666471772
TextAndGraphAndNumModule3455650288,2022-02-25 11:15:19,86ms,2880f1f9b05442d681ab121590bbf6c6,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9433796644210816,0.0082840753191739,0.9585925340652466,0.0115371018479085,0.842864739894867,0.0229602221843856,0.2680850565433502,0.0424330419320975,0.8373925924301148,0.0434032553167822,0.853620982170105,0.0595476991672916,0.8458665132522583,0.0233564121757181
TextAndGraphAndNumModule179351348,2022-02-25 07:01:52,85ms,cd605ef577e34e5da879c96f091a82c9,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9455742478370668,0.0157277010894456,0.9645734667778016,0.0110819936743791,0.8471827507019043,0.0419387880820326,0.2418144792318344,0.0581678107048423,0.8540391445159912,0.0543742676263836,0.8416592955589295,0.0405253320006935,0.8548841714859009,0.0392611681923032
TextAndGraphAndNumModule1213126462,2022-02-25 02:51:17,91ms,75747a71722641c59f4255ce805cbae1,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.942209219932556,0.0093338183092018,0.956756317615509,0.010438882471232,0.8361607551574707,0.0255425801245829,0.2797897547483444,0.0444433870149884,0.8484110593795776,0.0405133808492407,0.8277829408645629,0.0495892254844546,0.8460152983665467,0.0179555670608011
TextAndGraphAndNumModule241519969,2022-02-24 22:43:49,85ms,43ac6b188ba64edbaf6859b8f145030b,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9372348189353944,0.0100238245068352,0.9615575194358824,0.0108502235790939,0.824263334274292,0.0304683681842553,0.281381669640541,0.0620483561689998,0.8224346876144409,0.0400513216703424,0.8288365006446838,0.051014823645751,0.8381318211555481,0.0118004878178865
NumModule85577760,2022-02-24 18:48:10,65ms,d708ca752f164002a78fce546afef402,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8099488019943237,0.0239753946708966,0.64081711769104,0.0739988698513862,0.1165838733315467,0.0219401844568512,0.4979493498802185,0.083560217915427,0.4289154946804047,0.2019942594160498,0.0691975049674511,0.0093723670481669,0.1105900347232818,0.0360527658582835
TextAndGraphAndNumModule2244747940,2022-02-24 18:35:42,87ms,0dc1e3aea489432081918b664535ee89,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9482077598571778,0.0103598575098723,0.9622016310691832,0.0151855981322334,0.8522931218147278,0.0274186091562265,0.2906444042921066,0.081509795787644,0.8692583918571473,0.0291721480685221,0.836257255077362,0.0299353012259056,0.8648282527923584,0.0349130378829071
NumModule3886901441,2022-02-24 18:33:01,64ms,cd07942b03344c50a5f24f6d8eff9c06,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8036576390266419,0.0338930970233249,0.6010771870613099,0.087340992645708,0.0529124334454536,0.0456973824181652,0.5231242299079895,0.0845693855388104,0.339330729842186,0.2526811677253053,0.0370703745633363,0.0416448818964288,0.0662674942985177,0.0469963494696974
NumModule1613767618,2022-02-24 18:19:48,61ms,be2292214eb448d195109bebcf78247a,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7783467411994934,0.0535786774412687,0.4956345975399017,0.0180049861873404,0.0487805707380175,0.0504932116971948,0.6274338841438294,0.0162981447682418,0.119484357535839,0.04112627635971,0.0434438720345497,0.0604042314910385,0.0747289575636386,0.0704687479940951
NumModule603429394,2022-02-24 18:10:56,60ms,d43d41eda09a408a877d2e1b681604a3,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7027066588401795,0.0237114578543157,0.5096691727638245,0.0362551041942241,0.1700329095125198,0.0384258765877279,0.665900707244873,0.0030065924804441,0.1682221204042434,0.0263584951728488,0.1742682382464409,0.048464510121059,0.1723691120743751,0.0452113906794959
NumModule1135475674,2022-02-24 18:01:19,65ms,b1123962867b41c09e3289ec1e50c0d3,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7738112688064576,0.0534074115617197,0.4806109130382537,0.0137386187573943,0.0732751287519931,0.0414945192596637,0.6471534729003906,0.0106445202061052,0.1783947065472602,0.0985854791010257,0.0576846096664667,0.0508217131480872,0.0935628831386566,0.0693402059115676
GraphAndNumModule1752069925,2022-02-24 17:52:27,67ms,2f5cfce7a5ef4ad88787841dd1653ece,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,500.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6910022020339965,0.0297206070682883,0.4991142749786377,0.0338673652497569,0.1859204769134521,0.0255041744096823,0.6546656370162964,0.0080600723182743,0.1780887395143509,0.0258368645897697,0.1985164582729339,0.0353094226974808,0.1929005682468414,0.0331939885255614
GraphAndNumModule3710303716,2022-02-24 17:24:44,75ms,c2943e283b404fb69d551d989a589f32,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,300.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6374542832374572,0.0091671846999097,0.498461776971817,0.011726362897755,0.1995143204927444,0.0214351927332409,0.6618086934089661,0.0029266110163912,0.1644922792911529,0.0118060795248448,0.25605688393116,0.0468152313611565,0.2181164443492889,0.0120366535322902
GraphAndNumModule1344493413,2022-02-24 16:58:57,75ms,3abcf0fce4b94d0b99a73034b5759bb5,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7334308743476867,0.0102372336471897,0.5048170626163483,0.02177041110248,0.1616063997149467,0.0280853171710615,0.6392281770706176,0.0043549961525404,0.1844984501600265,0.0317249774248998,0.1448235929012298,0.0290343969792673,0.1528727293014526,0.0375107401890187
GraphAndNumModule2311386271,2022-02-24 16:34:51,70ms,263538cdc3d949c4ab86d684612291e6,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,180.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.691294813156128,0.025192654733249,0.505546772480011,0.0210827310826569,0.1978620141744613,0.0339214024780271,0.6756027102470398,0.0076637637722788,0.1847106456756591,0.0154705425028695,0.2194746017456054,0.0666447177374729,0.2000674247741699,0.0195386028945998
GraphAndNumModule151116853,2022-02-24 16:10:09,64ms,8aa8dbc077d24d148c98eb2b22c9eea1,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7635698556900025,0.0258775128229911,0.5035535573959351,0.0195910716110601,0.1335768759250641,0.0417822317018176,0.6396543860435486,0.0077598507365615,0.1980726569890976,0.0239731505717459,0.1087019518017768,0.0578301362553575,0.0975230924785137,0.0487833582790298
