Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextModule2042532696,bioinfer,True,False,False,,,,,0.8584752082824707,0.0199563484347814,0.9465983867645263,0.0107711379255592,0.8472763776779175,0.0374769438686252,0.8568795323371887,0.033184505532473,0.8514355778694153,0.0270759149788387,0.9730801224708556,0.0084608619617372
TextAndGraphModule386037688,bioinfer,True,True,False,,,,,0.8440647006034852,0.0208340149170888,0.942209219932556,0.012038048341434,0.8558494448661804,0.0346086002514738,0.8158161878585816,0.0632074063122215,0.8337078094482422,0.03584584222974,0.9623814463615418,0.0166230995494804
TextAndNumModule1171927391,bioinfer,True,False,True,Ver1_100,True,,,0.8480205178260803,0.0132187639195426,0.9444038152694704,0.0063098456086466,0.8474599599838257,0.0082360807393611,0.8395367860794067,0.0325481294383097,0.8431913495063782,0.0182674468765759,0.9584228038787842,0.0098322114134559
TextAndNumModule2950602157,bioinfer,True,False,True,Ver1_100,False,,,0.8481434941291809,0.0192971191630207,0.9433796763420104,0.00652006514366,0.8535232543945312,0.0268137602180033,0.8250174045562744,0.0420317250152745,0.8380349516868592,0.0221917357854777,0.9588973999023438,0.0169840973788954
TextAndNumModule2142382196,bioinfer,True,False,True,Ver1_180,True,,,0.8422935962677002,0.0196910054815336,0.9414777040481568,0.0038431531112535,0.8481804132461548,0.0291954061895071,0.8201002717018128,0.0247263315261141,0.8331599235534668,0.0099126959601561,0.9605827093124388,0.0059884968210892
TextAndNumModule3265460656,bioinfer,True,False,True,Ver1_180,False,,,0.8539122104644775,0.015141560233042,0.9448427319526672,0.005771209443108,0.8530699133872985,0.0311408264503945,0.8351373672485352,0.0194745684151543,0.8435601353645324,0.0171107226210656,0.9677262425422668,0.0051972096474085
TextAndNumModule331844549,bioinfer,True,False,True,Ver2_100,True,,,0.8449997782707215,0.013649915847378,0.9442575097084044,0.0070984806216461,0.8491758465766907,0.0263568012803317,0.8373088598251343,0.0353595693457041,0.8425325751304626,0.0200084108045806,0.956334400177002,0.0133300643415573
TextAndGraphAndNumModule3445857935,bioinfer,True,True,True,Ver1_100,True,False,False,0.8406739830970764,0.0181142267437874,0.9398683309555054,0.0108838249837843,0.8338958740234375,0.0495762114964954,0.8368505835533142,0.0520751880944275,0.832841670513153,0.0239471663179059,0.9647807121276856,0.0115588008560145
TextAndNumModule413261109,bioinfer,True,False,True,Ver2_100,False,,,0.8654452562332153,0.0292196245148921,0.9471836090087892,0.0113271373199993,0.8556400418281556,0.034625352323776,0.8472623348236084,0.0409017026102535,0.8509233474731446,0.0321889034231991,0.965753972530365,0.0129729917059173
TextAndGraphAndNumModule3635504380,bioinfer,True,True,True,Ver1_100,False,False,False,0.8452922821044921,0.0133130257160387,0.9441112041473388,0.010163785818916,0.8563523650169372,0.025489834540678,0.8254933476448059,0.052176454021676,0.8397454977035522,0.0319416935060392,0.959717845916748,0.0052373500388366
