Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/loss_mean,test/loss_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextModule2041646185,bioinfer,True,False,False,,,,,0.8399168252944946,0,0.2963909804821014,0,0.9378654956817628,0,0.79296875,0,0.8638297915458679,0,0.8268839120864868,0,0.9593453407287598,0
TextAndGraphModule1232050371,bioinfer,True,True,False,,,,,0.8673683404922485,0,0.2842950224876404,0,0.95175439119339,0,0.8477365970611572,0,0.8765957355499268,0,0.8619246482849121,0,0.975508451461792,0
TextAndNumModule4205880275,bioinfer,True,False,True,Ver1_100,True,,,0.8305785059928894,0,0.2027046233415603,0,0.9415204524993896,0,0.7902621626853943,0,0.8978723287582397,0,0.8406375050544739,0,0.978265106678009,0
TextAndNumModule1518320377,bioinfer,True,False,True,Ver1_100,False,,,0.8670757412910461,0,0.2876152992248535,0,0.9429824352264404,0,0.8054474592208862,0,0.8808510899543762,0,0.8414633870124817,0,0.9660382270812988,0
TextAndNumModule2314209576,bioinfer,True,False,True,Ver1_180,True,,,0.8282827734947205,0,0.2700656056404114,0,0.9407894611358644,0,0.7851851582527161,0,0.9021276831626892,0,0.8396039605140686,0,0.9705751538276672,0
TextAndNumModule2351300565,bioinfer,True,False,True,Ver1_180,False,,,0.8399168252944946,0,0.3101597726345062,0,0.938596487045288,0,0.7984189987182617,0,0.8595744967460632,0,0.8278688788414001,0,0.962254285812378,0
TextAndNumModule576874112,bioinfer,True,False,True,Ver2_100,True,,,0.8456659317016602,0,0.2288790494203567,0,0.9429824352264404,0,0.8230452537536621,0,0.8510638475418091,0,0.836820125579834,0,0.9753920435905457,0
TextAndNumModule3784997873,bioinfer,True,False,True,Ver2_100,False,,,0.8607594966888428,0,0.302350640296936,0,0.9429824352264404,0,0.8127490282058716,0,0.8680850863456726,0,0.839506208896637,0,0.9644419550895692,0
TextAndNumModule3862446142,bioinfer,True,False,True,Ver2_300,True,,,0.838056743144989,0,0.2114530801773071,0,0.9400584697723388,0,0.7908745408058167,0,0.8851063847541809,0,0.8353413343429565,0,0.97088885307312,0
TextAndGraphAndNumModule3734542554,bioinfer,True,True,True,Ver1_100,True,False,False,0.8559322357177734,0,0.2299528568983078,0,0.9459064602851868,0,0.8285714387893677,0,0.8638297915458679,0,0.8458333611488342,0,0.9674898982048036,0
