Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
TextAndGraphAndNumModule3350065632,2022-03-03 00:17:15,75ms,4da975e78d104bd99ad236019442709a,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9444444179534912,0,0.962188482284546,0,0.8455284237861633,0,0.2594671547412872,0,0.8093385100364685,0,0.8851063847541809,0,0.8458333015441895,0
TextAndGraphAndNumModule2000282779,2022-03-02 23:25:37,74ms,37d36dddbbae429685673c7d8daa2969,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9393274784088136,0,0.9634749293327332,0,0.8288660049438477,0,0.2324607819318771,0,0.8040000200271606,0,0.8553191423416138,0,0.8060344457626343,0
TextAndGraphAndNumModule790435657,2022-03-02 22:33:48,77ms,d683773693e34c34a5c6312233d0a0b2,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9466374516487122,0,0.9673978686332704,0,0.8463157415390015,0,0.2761529088020324,0,0.8374999761581421,0,0.8553191423416138,0,0.8528785109519958,0
TextAndGraphAndNumModule418548438,2022-03-02 21:42:30,77ms,5e3098af21014dafb837a8ec4f14cca3,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9393274784088136,0,0.9676137566566468,0,0.828157365322113,0,0.2384799718856811,0,0.8064516186714172,0,0.8510638475418091,0,0.8425531983375549,0
TextAndGraphAndNumModule2954109627,2022-03-02 20:50:44,73ms,d4357b681dee473b810fc525be87ce5e,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9415204524993896,0,0.9659292697906494,0,0.8297872543334961,0,0.2817420661449432,0,0.8297872543334961,0,0.8297872543334961,0,0.8511530756950378,0
TextAndGraphAndNumModule3632150370,2022-03-02 19:59:44,75ms,ba1818c407554d69a49493af22d5ea44,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9459064602851868,0,0.9675218462944032,0,0.8471074104309082,0,0.2755258083343506,0,0.823293149471283,0,0.8723404407501221,0,0.8469602465629578,0
TextAndGraphAndNumModule2153238588,2022-03-02 19:08:41,74ms,ae68b3e629d84ca783d5f33f25c59bbb,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9437134265899658,0,0.966274917125702,0,0.8399168252944946,0,0.3210119605064392,0,0.8211382031440735,0,0.8595744967460632,0,0.8469602465629578,0
NumModule1164056764,2022-03-02 19:00:03,57ms,048c4b94900b498c9747ba64913d7edf,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.8296783566474915,0,0.6917354464530945,0,0.1003861054778099,0,0.4274938106536865,0,0.5416666865348816,0,0.0553191490471363,0,0.1449275314807891,0
NumModule1673311624,2022-03-02 18:56:30,59ms,b9286a847d2f42328a3e3afb35eb84e7,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.7448830604553223,0,0.5027961730957031,0,0.1425061523914337,0,0.6476030945777893,0,0.1686046570539474,0,0.1234042569994926,0,0.1643835604190826,0
NumModule1970956284,2022-03-02 18:54:12,54ms,0b9c7fe274e949a6be8dac5fcf7f3148,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.6951754093170166,0,0.5133349895477295,0,0.1965317875146865,0,0.6595055460929871,0,0.1795774698257446,0,0.2170212715864181,0,0.1751824766397476,0
